Event Count,P2P Jacc,Order Management Jacc
15299,0.0000,0.8178
15329,0.0000,0.8311
15359,0.0000,0.8356
15389,0.0000,0.8400
15419,0.0000,0.8622
15449,0.0000,0.8667
15479,0.0000,0.8400
15509,0.0000,0.8489
15539,0.0000,0.8489
15569,0.0000,0.8622
15599,0.0000,0.8667
15629,0.0000,0.8711
15659,0.0000,0.8711
15689,0.0000,0.8756
15719,0.0000,0.8756
15749,0.0000,0.8756
15779,0.0000,0.8711
15809,0.0000,0.8667
15839,0.0000,0.8578
15869,0.0000,0.8578
15899,0.0000,0.8578
15929,0.0000,0.8578
15959,0.0000,0.8578
15989,0.0000,0.8578
16019,0.0000,0.8578
16049,0.0000,0.8578
16079,0.0000,0.8578
16109,0.0000,0.8578
16139,0.0000,0.8578
16169,0.0000,0.8578
16199,0.0000,0.8578
16229,0.0000,0.8533
16259,0.0000,0.8533
16289,0.0000,0.8533
16319,0.0000,0.8533
16349,0.0000,0.8533
16379,0.0000,0.8533
16409,0.0000,0.8622
16439,0.0000,0.8622
16469,0.0000,0.8622
16499,0.0000,0.8622
16529,0.0000,0.8622
16559,0.0000,0.8622
16589,0.0000,0.8578
16619,0.0000,0.8622
16649,0.0000,0.8622
16679,0.0000,0.8622
16709,0.0000,0.8622
16739,0.0000,0.8622
16769,0.0000,0.8711
16799,0.0000,0.8711
16829,0.0000,0.8711
16859,0.0000,0.8756
16889,0.0000,0.8756
16919,0.0000,0.8889
16949,0.0000,0.8889
16979,0.0000,0.8889
17009,0.0000,0.8667
17039,0.0000,0.8667
17069,0.0000,0.8667
17099,0.0000,0.8667
17129,0.0000,0.8667
17159,0.0000,0.8667
17189,0.0000,0.8622
17219,0.0000,0.8622
17249,0.0000,0.8622
17279,0.0000,0.8622
17309,0.0000,0.8622
17339,0.0000,0.8622
17369,0.0000,0.8667
17399,0.0000,0.8667
17429,0.0000,0.8667
17459,0.0000,0.8667
17489,0.0000,0.8667
17519,0.0000,0.8756
17549,0.0000,0.8756
17579,0.0000,0.8756
17609,0.0000,0.8756
17639,0.0000,0.8756
17669,0.0000,0.8756
17699,0.0000,0.8756
17729,0.0000,0.8756
17759,0.0000,0.8622
17789,0.0000,0.8667
17819,0.0000,0.8667
17849,0.0000,0.8667
17879,0.0000,0.8667
17909,0.0000,0.8667
17939,0.0000,0.8711
17969,0.0000,0.8711
17999,0.0000,0.8711
18029,0.0000,0.8711
18059,0.0000,0.8711
18089,0.0000,0.8756
18119,0.0000,0.8756
18149,0.0000,0.8756
18179,0.0000,0.8756
18209,0.0000,0.8800
18239,0.0000,0.8800
18269,0.0000,0.8844
18299,0.0000,0.8889
18329,0.0000,0.8889
18359,0.0000,0.8889
18389,0.0000,0.8889
18419,0.0000,0.8933
18449,0.0000,0.8933
18479,0.0000,0.8889
18509,0.0000,0.8844
18539,0.0000,0.8800
18569,0.0000,0.8800
18599,0.0000,0.8800
18629,0.0000,0.8800
18659,0.0000,0.8800
18689,0.0000,0.8800
18719,0.0000,0.8800
18749,0.0000,0.8800
18779,0.0000,0.8800
18809,0.0000,0.8756
18839,0.0000,0.8756
18869,0.0000,0.8756
18899,0.0000,0.8756
18929,0.0000,0.8756
18959,0.0000,0.8756
18989,0.0000,0.8756
19019,0.0000,0.8800
19049,0.0000,0.8800
19079,0.0000,0.8800
19109,0.0000,0.8844
19139,0.0000,0.8889
19169,0.0000,0.8889
19199,0.0000,0.8844
19229,0.0000,0.8844
19259,0.0000,0.8844
19289,0.0000,0.8844
19319,0.0000,0.8844
19349,0.0000,0.8844
19379,0.0000,0.8844
19409,0.0000,0.8844
19439,0.0000,0.8844
19469,0.0000,0.8844
19499,0.0000,0.8889
19529,0.0000,0.8933
19559,0.0000,0.8933
19589,0.0000,0.8933
19619,0.0000,0.8933
19649,0.0000,0.8933
19679,0.0000,0.8844
19709,0.0000,0.8844
19739,0.0000,0.8844
19769,0.0000,0.8844
19799,0.0000,0.8844
19829,0.0000,0.8844
19859,0.0000,0.8844
19889,0.0000,0.8844
19919,0.0000,0.8844
19949,0.0000,0.8844
19979,0.0000,0.8889
20009,0.0000,0.8889
20039,0.0000,0.8889
20069,0.0000,0.8889
20099,0.0000,0.8889
20129,0.0000,0.8889
20159,0.0000,0.8889
20189,0.0000,0.8889
20219,0.0000,0.8889
20249,0.0000,0.8889
20279,0.0000,0.8889
20309,0.0000,0.8889
20339,0.0000,0.8889
20369,0.0000,0.8889
20399,0.0000,0.8889
20429,0.0000,0.8889
20459,0.0000,0.8844
20489,0.0000,0.8844
20519,0.0000,0.8889
20549,0.0000,0.8889
20579,0.0000,0.8889
20609,0.0000,0.8933
20639,0.0000,0.8933
20669,0.0000,0.8933
20699,0.0000,0.8933
20729,0.0000,0.8889
20759,0.0000,0.8933
20789,0.0000,0.8933
20819,0.0000,0.8844
20849,0.0000,0.8844
20879,0.0000,0.8889
20909,0.0000,0.8889
20939,0.0000,0.8889
20969,0.0000,0.8889
20999,0.0000,0.8889
21029,0.0000,0.8889
21059,0.0000,0.8889
21089,0.0000,0.8889
21119,0.0000,0.8889
21149,0.0000,0.8889
21179,0.0000,0.8889
21209,0.0000,0.8844
21239,0.0000,0.8844
21269,0.0000,0.8844
21299,0.0000,0.8844
21329,0.0000,0.8844
21359,0.0000,0.8844
21389,0.0000,0.8844
21419,0.0000,0.8844
21449,0.0000,0.8889
21479,0.0000,0.8889
21509,0.0000,0.8889
21539,0.0000,0.8889
21569,0.0000,0.8889
21599,0.0000,0.8933
21629,0.0000,0.8933
21659,0.0000,0.8933
21689,0.0000,0.8933
21719,0.0000,0.8978
21749,0.0000,0.8933
21779,0.0000,0.8933
21809,0.0000,0.8933
21839,0.0000,0.8889
21869,0.0000,0.8889
21899,0.0000,0.8889
21929,0.0000,0.8933
21959,0.0000,0.8933
21989,0.0000,0.8978
22019,0.0000,0.8978
22049,0.0000,0.8978
22079,0.0000,0.8756
22109,0.0000,0.8978
22139,0.0000,0.8978
22169,0.0000,0.8978
22199,0.0000,0.8978
22229,0.0000,0.8978
22259,0.0000,0.8978
22289,0.0000,0.8978
22319,0.0000,0.8933
22349,0.0000,0.8933
22379,0.0000,0.8933
22409,0.0000,0.8933
22439,0.0000,0.8933
22469,0.0000,0.8933
22499,0.0000,0.8933
22529,0.0000,0.8933
22559,0.0000,0.8933
22589,0.0000,0.8933
22619,0.0000,0.8933
22649,0.0000,0.8933
22679,0.0000,0.8933
22709,0.0000,0.8933
22739,0.0000,0.8933
22769,0.0000,0.8933
22799,0.0000,0.8933
22829,0.0000,0.8933
22859,0.0000,0.8933
22889,0.0000,0.8933
22919,0.0000,0.8933
22949,0.0000,0.8933
22979,0.0000,0.8933
23009,0.0000,0.8933
23039,0.0000,0.8933
23069,0.0000,0.8933
23099,0.0000,0.8933
